================================================================================
TOP 50 CUDA OPERATIONS (by total GPU time)
================================================================================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         2.73%     984.514ms         2.80%        1.012s     546.878us      24.42 Mb      24.41 Mb     213.22 Mb     213.22 Mb          1850  
                                               aten::ge         2.71%     975.785ms         2.78%        1.004s     625.459us      24.42 Mb      24.41 Mb      46.59 Mb      46.59 Mb          1605  
                                              aten::div         2.06%     744.809ms         2.14%     771.154ms     255.349us     135.31 Mb     135.30 Mb       2.23 Gb       2.23 Gb          3020  
                                            aten::fill_         1.34%     484.002ms         1.34%     484.571ms     183.203us           0 b           0 b           0 b           0 b          2645  
                                              aten::add         1.27%     459.603ms         1.27%     459.603ms     109.690us     107.81 Mb     107.81 Mb      12.58 Gb      12.58 Gb          4190  
                                            aten::slice         0.90%     325.543ms         1.08%     389.066ms      14.813us           0 b           0 b           0 b           0 b         26265  
                                            aten::round         0.90%     323.697ms         0.90%     323.697ms     674.369us      65.12 Mb      65.12 Mb           0 b           0 b           480  
                                aten::cudnn_convolution         0.60%     215.445ms         0.60%     215.445ms     133.817us           0 b           0 b      51.62 Gb      51.62 Gb          1610  
                                              aten::mul         0.60%     215.318ms         0.62%     224.943ms      51.711us       5.07 Mb       5.06 Mb       4.26 Gb       4.26 Gb          4350  
                                 aten::_index_put_impl_         0.51%     184.109ms         0.55%     196.965ms     237.307us           0 b           0 b           0 b           0 b           830  
                                            aten::empty         0.41%     146.624ms         0.41%     146.624ms       9.947us     622.54 Mb     622.54 Mb      80.84 Gb      80.84 Gb         14740  
                                             aten::sort         0.36%     128.061ms         0.41%     148.015ms     284.644us      15.19 Mb       4.98 Mb     166.25 Mb     166.25 Mb           520  
                                           aten::select         0.33%     119.052ms         0.38%     137.610ms      12.771us           0 b           0 b           0 b           0 b         10775  
                                            aten::addmm         0.32%     116.806ms         0.32%     116.806ms     110.194us           0 b           0 b       7.25 Gb       7.25 Gb          1060  
                                       aten::as_strided         0.32%     116.776ms         0.32%     116.776ms       2.190us           0 b           0 b           0 b           0 b         53325  
                                               aten::mm         0.29%     104.107ms         0.29%     104.422ms     122.849us      97.68 Mb      97.68 Mb       7.55 Gb       7.55 Gb           850  
                                 aten::cudnn_batch_norm         0.28%     101.467ms         0.43%     153.582ms     162.521us           0 b           0 b      38.67 Gb           0 b           945  
                                              aten::sub         0.22%      80.703ms         0.22%      80.703ms      58.480us           0 b           0 b       2.43 Gb       2.43 Gb          1380  
                                         aten::_to_copy         0.21%      76.751ms        27.07%        9.765s       1.509ms     509.02 Mb          68 b       1.70 Gb           0 b          6470  
                                    aten::empty_strided         0.18%      66.143ms         0.18%      66.143ms       8.252us     513.22 Mb     513.22 Mb       3.09 Gb       3.09 Gb          8015  
